comment,label
"#ميسي #رونالدو #كرة_القدم

ميسي أم رونالدو ؟.. 34 نجمًا يختارون الأفضل بينهما",ايجابي
#ميسي,سلبي
#رونالدو,ايجابي
#كرة_القدم,محايد
ميسي أم رونالدو ؟.. 34 نجمًا يختارون الأفضل بينهما,ايجابي
ما هي المواضيع التي ترغبون بمشاهدتها على قناتنا,محايد
آراء اللاعبين والناس وحدها لاتكفي لمقارنة هاؤلاء الأسطورتان . ويبقى ميسي وكريستيانو سيدا كرة القدم وأعظم منافسين في التأريخ,سلبي
"8 كرات ذهبية و 6 احذية ذهبية و كأس العالم 
نعم ! هو لم يعد بحاجة لشيء آخر ليثبت أنه الأفضل ، هو الأفضل في العالم على مدار التاريخ .",محايد
ليو🇦🇷,محايد
ميسي خلاص أعظم لاعب كرة قدم في التاريخ متعة لعب والقاب حققها واختتمها بكأس العالم,سلبي
اللهم صلي وسلم وبارك على سيدنا محمد وعلى اله وصحبه وسلم,محايد
محمد صلي الله عليه وسلم اعضم انسان في العالم,محايد
"الذين يحق لهم تقرير من الافضل هم المدافعين والحراس ،فسألوا فاندايك",محايد
كل واحد بيتميز بشي التنين مبدعين حسب نظرتك من أي زاوية بتشوف واحد مبدع اكتر,محايد
الاجتهاد حاجه و المهاره الربانيه حاجه مهما اجتهدت حتفضل المهاره الربانيه اقوى دائما,محايد
"اكيد وبدون منافس ليونيل ميسي محطم الارقام القياسية وحقق كأس العالم 
لاعب لن يتكرر مرتين",سلبي
"رونالدينيو: ميسي .. دائماً ميسي 
تلميذك يا روني",سلبي
كالعاده ياسده لاسياده في وجود الملك,محايد
ليونيل ميسي أفضل من انجبت الكرة على مر التاريخ,سلبي
ميسي ميسي ميسي أنا كنت مدريدي في الماضي لكن كنت أرى أن ميسي هو رقم واحد ولا يزال,سلبي
كل وحد وجهت نظره ماحد يسب الثاني,محايد
المهارة والابداع واللمسة السحرية التي لن تتكرر ليونيل ميسي,سلبي
اللهم صلي وسلم على سيدنا محمد صلى الله عليه وسلم,محايد
اللاعبين الاتنين ماراح يتعوضوا الاول ساحر وفنان والتاني ماكينة اهداف والقاب,محايد
"اقولها وانا مدريدي 
يبقى ميسي سيد الكره وراح نفقده بالاجيال القادمة بكرة القدم",سلبي
اكيد افضل لاعب واعظم موهبه وحقق كأس العالم واحسن لاعب هو ليونيل ميسي️️️️️️️️️️️️️️️️️️️️️️,سلبي
ميسي انولد و هو موهوب عنده موهبة عظيمة صغر سنه كان ب الفورمه عكس كريستيانو الفورمه حقته ب ٣٠ و فوق هذا دليل على الشخصية القويه و العمل الشاق و التعب و التمارين و المواصلة و الشغف شخصية رياضية عظيمة جداً,سلبي
موهوب بالفطرة ودائما يصنع الفارق ...ميسي الافضل لكن شخصية رونالدو جعلته الاكثر شعبية وجماهرية,ايجابي
ميسي ساحر كرة القدم و صاحب اكثر لاعب حاصل على الكرات الذهبية و صاحب اكثر لاعب مسجلا لأهداف في التاريخ,سلبي
ميسي  أفضل من جميع اللاعبين  ولا يوجد احد يتقارن به,سلبي
يبقى ميسي و رونالدو اسطورة لن يتكرر,ايجابي
بالنسبة لي ميسي أسطورة لن يتكرر,سلبي
كلاهما اسطورتان انجبتهما كرة القدم لا داعي للمقارنة,محايد
كريستيانو الاسطورة التي لن تتكرر في التاريخ 🇵🇹,ايجابي
الاساطير يختارون الاسطوره,محايد
انا عن نفسي تكفي شهادة رونالدينهو لميسي,سلبي
"ميسي الافضل ف العالم 
ولاكن رونالدو ايضا لاعب من عالم اخر بس مشكلته جاء في زمن ميسي ️",ايجابي
"لكل لاعب زمنه و أيامه و أرقامه التي في وقتها كانت ظواهر صامدة
أمام باقي اللاعبين،، فمن أراد جمع كل اللاعبين في سلة واحدة فهو 
و رأيه ....",محايد
الله ورسوله,محايد
رونالدو دائما اتعلم لماذا اخترته ليس لاسلوبه فقط بل أخلاقه ايضا,ايجابي
الكل يعلم انه الأفضل لكن ليس الكل يريد الإعتراف كريستيانو افضل رأس حربة ممكن الى جانب رونالدة الظاهرة لكن ميسي افضل لاعب في العالم لأنه لاعب متكامل بإختصار,سلبي
مييييسي,محايد
ليونيل ميسي يراوغ نص الفريق لوحده,سلبي
"الكلام الفصل في الموضوع ... مسي موهبة طبيعية ومن ناحية التكنيك والمهارة وخلق الفرص والذكاء في الملعب هو الافضل ... رونالد موهبة صنعها الاجتهاد والارادة ومن ناحية الطول والقفز والقوة البدنية وقوة الضربة والسرعة هو الافضل لكل ايجابياته وسلبياته ولاكني افضل مسي حتى في لعب ال ps4 ,",محايد
"اغلبيه الي اختارو ميسي عندهم عداوه مع كريستيانو رونالدو و يكرههو و يتذكرو لمن كان كريستيانو رونالدو يعذبهم تعذيب 
لو عندهم عداوه مع ميسي كان الاغلبيه اختارت كريستيانو رونالدو
و يجي طفل يقول ميسي الافضل",ايجابي
افضل الله,محايد
"عندما تريد رؤية الاهداف رونالدو
عندما تريد الفن و المهارة ميسي",ايجابي
